code,term
1153369009,Axial spondyloarthritis with peripheral joint involvement
1336115002,"Pyoderma gangrenosum, acne, hidradenitis suppurativa, ankylosing spondylitis syndrome"
156619005,Ankylosing spondylitis
239810002,Ankylosing spondylitis with organ / system involvement
239811003,Ankylosing spondylitis with multisystem involvement
493721211000119100,Non-radiographic axial spondyloarthritis of lumbar and sacral regions
713777005,Non-radiographic axial spondyloarthritis
723116002,Axial spondyloarthritis
785716931000119106,Non-radiographic axial spondyloarthritis of thoracic and lumbar regions
786077003,Ankylosing spondylitis co-occurrent with anterior uveitis
834127761000119108,Non-radiographic axial spondyloarthritis of cervical region
838436001,Chest deformity due to ankylosing spondylitis
919541000000106,Axial spondyloarthritis
919551000000109,Axial spondyloarthritis 
938000861000119106,Non-radiographic axial spondyloarthritis of lumbar region
9631008,Ankylosing spondylitis
